Linux 2.6.32-131.4.1.el6.x86_64 (esv4-app133.stg) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:37:04 PM      0.00     12.56    125.63      0.00    458.29      0.00      0.00      0.00      0.00
09:37:06 PM      0.00      1.49    123.38      0.00    450.75      0.00      0.00      0.00      0.00
09:37:08 PM      0.00     52.00    124.00      0.00  12728.00      0.00   8718.50   8716.50     99.98
09:37:10 PM      0.00      0.50    177.89      0.00    563.82      0.00      0.00      0.00      0.00
09:37:12 PM      0.00      0.00    122.77      0.00    454.46      0.00      0.00      0.00      0.00
09:37:14 PM      0.00     49.75    166.33      0.00    459.80      0.00      0.00      0.00      0.00
09:37:16 PM      0.00      0.00    129.00      0.00    458.50      0.00      0.00      0.00      0.00
09:37:18 PM      0.00     16.50    124.00      0.00  17717.00      0.00   6338.50   6338.50    100.00
09:37:20 PM      6.00     28.00  79610.00      0.50  25397.50      0.00      0.00      0.00      0.00
09:37:22 PM      0.00      0.00    125.00      0.00    462.50      0.00      0.00      0.00      0.00
09:37:24 PM      0.00    870.50    126.00      0.00    455.50      0.00      0.00      0.00      0.00
09:37:26 PM      0.00     34.00    125.00      0.00    458.50      0.00      0.00      0.00      0.00
09:37:28 PM      0.00     23.50    124.50      0.00   8936.00      0.00   5277.50   5277.50    100.00
09:37:30 PM      0.00      0.00    176.50      0.00    577.50      0.00      0.00      0.00      0.00
09:37:32 PM      0.00     26.00    129.00      0.00    464.50      0.00      0.00      0.00      0.00
09:37:34 PM      0.00     12.56    124.12      0.00    462.31      0.00      0.00      0.00      0.00
09:37:36 PM      0.00      0.00    123.38      0.00    461.19      0.00      0.00      0.00      0.00
09:37:38 PM      0.00     46.50    123.50      0.00  12465.00      0.00   9725.50   9725.50    100.00
09:37:40 PM      0.00      0.00    246.73      0.00    774.37      0.00      0.00      0.00      0.00
09:37:42 PM      0.00      0.00    124.00      0.00    459.00      0.00      0.00      0.00      0.00
09:37:44 PM      0.00     53.73    131.84      0.00    470.65      0.00      0.00      0.00      0.00
09:37:46 PM      0.00      1.51    129.15      0.00    463.82      0.00      0.00      0.00      0.00
09:37:48 PM      0.00     24.00    124.00      0.00    460.50      0.00      0.00      0.00      0.00
09:37:50 PM      0.00     30.35    176.62      0.00    553.23      0.00      0.00      0.00      0.00
09:37:52 PM      0.00      0.00    124.12      0.00    460.30      0.00      0.00      0.00      0.00
09:37:54 PM      0.00    875.25    123.27      0.00    452.48      0.00      0.00      0.00      0.00
09:37:56 PM      0.00     43.72    123.62      0.00    459.30      0.00      0.00      0.00      0.00
09:37:58 PM      0.00      0.00    124.00      0.00    456.50      0.00      0.00      0.00      0.00
09:38:00 PM      0.00      6.00    178.00      0.00    570.50      0.00      0.00      0.00      0.00
09:38:02 PM      0.00     32.16    129.15      0.00    464.32      0.00      0.00      0.00      0.00
09:38:04 PM      0.00      9.95    125.37      0.00    463.68      0.00      0.00      0.00      0.00
09:38:06 PM      0.00      0.50    124.00      0.00    456.50      0.00      0.00      0.00      0.00
09:38:08 PM      0.00     38.19    124.62      0.00    466.33      0.00      0.00      0.00      0.00
09:38:10 PM      0.00      0.50    175.12      0.00    554.23      0.00      0.00      0.00      0.00
09:38:12 PM      0.00      0.00    128.64      0.00    467.34      0.00      0.00      0.00      0.00
09:38:14 PM      0.00     51.74    163.68      0.00    455.72      0.00      0.00      0.00      0.00
09:38:16 PM      0.00      0.00    131.00      0.00    468.00      0.00      0.00      0.00      0.00
09:38:18 PM      0.00      0.50    125.00      0.00    469.50      0.00      0.00      0.00      0.00
09:38:20 PM      0.00     32.00   7519.00      0.00   2812.50      0.00      0.00      0.00      0.00
09:38:22 PM      0.00      0.00  72566.83      0.00  23174.87      0.00      0.00      0.00      0.00
09:38:24 PM      0.00    878.11    124.88      0.00    464.18      0.00      0.00      0.00      0.00
09:38:26 PM      0.00     38.00    125.00      0.00    479.00      0.00      0.00      0.00      0.00
09:38:28 PM      0.00     17.50    124.00      0.00    496.50      0.00      0.00      0.00      0.00
09:38:30 PM      0.00      0.00    177.11      0.00    590.55      0.00      0.00      0.00      0.00
09:38:32 PM      0.00     35.18    130.15      0.00    495.48      0.00      0.00      0.00      0.00
09:38:34 PM      0.00     11.50    128.00      0.00    481.50      0.00      0.00      0.00      0.00
09:38:36 PM      0.00      0.00    123.00      0.00    469.00      0.00      0.00      0.00      0.00
09:38:38 PM      0.00     32.50    127.50      0.00    466.00      0.00      0.00      0.00      0.00
09:38:40 PM      0.00      0.00    183.42      0.00    580.90      0.00      0.00      0.00      0.00
09:38:42 PM      0.00      0.00    124.38      0.00    457.21      0.00      0.00      0.00      0.00
09:38:44 PM      0.00     51.00    131.50      0.00    466.00      0.00      0.00      0.00      0.00
09:38:46 PM      0.00      4.50    129.50      0.00    468.00      0.00      0.00      0.00      0.00
